sample	batch		value
32170083_EXO_S21	181004-190521	ultraShortReadsPerc	31.499447152105915
32161065_EXO_S14	181004-190521	ultraShortReadsPerc	24.492622704800393
32150978_EXO_S34	181004-190521	ultraShortReadsPerc	28.035080445308797
32161046_EXO_S13	181004-190521	ultraShortReadsPerc	26.617121824175108
32160670_EXO_S7	181004-190521	ultraShortReadsPerc	38.39307424185365
32170652_EXO_S30	181004-190521	ultraShortReadsPerc	30.58781865863589
32150704_EXO_S33	181004-190521	ultraShortReadsPerc	33.32612323182531
32170378_EXO_S26	181023-190319	ultraShortReadsPerc	31.99195902947402
32161454_EXO_S20	181023-190319	ultraShortReadsPerc	27.79432259657964
32160526_EXO_S15	181023-190319	ultraShortReadsPerc	37.95392792632278
32152086_EXO_S7	181023-190319	ultraShortReadsPerc	30.82096008408149
32151130_EXO_S2	181023-190319	ultraShortReadsPerc	26.345705248900227
32151185_EXO_S4	181023-190319	ultraShortReadsPerc	33.33963278924232
32170440_EXO_S27	181023-190319	ultraShortReadsPerc	28.794659841531946
32152175_EXO_S9	181023-190319	ultraShortReadsPerc	25.77206527686533
32152337_EXO_S10	181023-190319	ultraShortReadsPerc	32.83150119052295
32151033_EXO_S1	181023-190319	ultraShortReadsPerc	18.154984630254365
32170273_EXO_S23	181023-190319	ultraShortReadsPerc	29.782474997728656
32152088_EXO_S8	181023-190319	ultraShortReadsPerc	19.521809135575065
32151825_EXO_S6	181023-190319	ultraShortReadsPerc	28.29503717929471
32151151_EXO_S3	181023-190319	ultraShortReadsPerc	21.31783373511832
32170329_EXO_S24	181023-190319	ultraShortReadsPerc	23.940632913056742
32170337_EXO_S25	181023-190319	ultraShortReadsPerc	33.78603679815744
32160079_EXO_S13	181023-190319	ultraShortReadsPerc	33.678906838586656
32152347_EXO_S11	181023-190319	ultraShortReadsPerc	27.91937055837271
32160791_EXO_S16	181023-190319	ultraShortReadsPerc	23.920449141670375
32161000_EXO_S17	181023-190319	ultraShortReadsPerc	29.67453280346513
32160288_EXO_S14	181023-190319	ultraShortReadsPerc	27.47712461070885
32170032_EXO_S21	181023-190319	ultraShortReadsPerc	28.81314228244408
32170447_EXO_S28	181023-190319	ultraShortReadsPerc	27.991692379442423
32160018_EXO_S12	181023-190319	ultraShortReadsPerc	39.87675444386652
32170073_EXO_S22	181023-190319	ultraShortReadsPerc	26.52125601781804
32161249_EXO_S19	181023-190319	ultraShortReadsPerc	33.93402632748683
32151764_EXO_S5	181023-190319	ultraShortReadsPerc	28.975474284679706
32161037_EXO_S18	181023-190319	ultraShortReadsPerc	30.082791286101056

